state,district,mobility_ratio,zone_type,Policy_Action
bihar,bhojpur,6.929564118761845,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
bihar,buxar,5.892463640370207,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
bihar,darbhanga,2.7137245132607695,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,gaya,4.5530582549498515,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,gopalganj,4.805599214145383,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,jamui,2.466193455245428,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,jehanabad,5.594987335021997,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
bihar,katihar,2.5538137327733894,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,khagaria,3.529527355465922,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,kishanganj,3.749905420742582,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,lakhisarai,4.010922112802149,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,madhepura,3.882433293871232,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,madhubani,3.283730197487938,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,munger,5.119190331138842,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
bihar,muzaffarpur,4.661297014961802,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,nalanda,5.91271037427782,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
bihar,nawada,4.472950957811359,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,pashchim champaran,6.335511537676128,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
bihar,patna,5.73386681762042,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
bihar,purbi champaran,5.227861868938638,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
bihar,purnia,3.487174906204538,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,rohtas,4.346432767491796,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,saharsa,3.7199601791936288,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,samastipur,4.631525583005663,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,saran,5.158593386120168,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
bihar,sheikhpura,2.870310943897311,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,sheohar,4.661308471306864,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,sitamarhi,3.1585260493058205,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,siwan,4.5445122931062185,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,supaul,4.54188706541887,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,vaishali,4.340095212104672,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chandigarh,chandigarh,1.4283564179225903,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,balod,2.012890246628418,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,bastar,2.533654020036891,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,bemetara,1.9576807012501796,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,bijapur,1.941953367030817,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,bilaspur,2.193260251725538,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,dakshin bastar dantewada,0.7715425863574011,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
chhattisgarh,dhamtari,1.8116950922380786,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,durg,0.9063733630992894,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
chhattisgarh,gariyaband,2.0730111172435546,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,jashpur,2.060196357145218,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,kabeerdham,2.21058284954349,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,kondagaon,4.037389055838982,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,korba,2.3481524249422634,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,korea,1.8984778121775026,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,mahasamund,4.159744408945687,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,mungeli,2.4304862502276454,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,narayanpur,2.7430063409175682,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,raigarh,2.329740352548833,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,raipur,2.020857745488634,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,rajnandgaon,2.5683961385068397,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,sakti,35.01204819277108,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
chhattisgarh,sukma,1.2215458201978475,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,surajpur,2.003263403263403,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,surguja,3.5255930913542666,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
chhattisgarh,uttar bastar kanker,1.7417395639758873,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
dadra and nagar haveli and daman and diu,dadra and nagar haveli,0.8481908757210278,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
dadra and nagar haveli and daman and diu,daman,1.8166877370417194,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
dadra and nagar haveli and daman and diu,diu,0.8456678700361011,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
delhi,central,2.144951923076923,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
delhi,east,3.0113505480215492,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
delhi,new delhi,2.4201101928374658,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
delhi,north,3.0255040361892136,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
delhi,north east,1.5968721759212772,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
delhi,north west,2.0531008564412767,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
delhi,shahdara,10.753943217665615,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
delhi,south,1.998303366369411,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
delhi,south east,24.302325581395348,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
delhi,south west,2.2482960516438975,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
delhi,west,2.898728307454507,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
goa,north goa,1.5544186888808402,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
goa,south goa,1.6525557306912857,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,ahmedabad,1.4599460593347318,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,amreli,1.8809453032104637,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,anand,1.7066347305389222,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,arvalli,0.8341295116772823,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
gujarat,banas kantha,1.2333632925139497,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,bharuch,1.5172157279489904,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,bhavnagar,1.3988445607150644,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,botad,1.4157355679702048,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,chhotaudepur,1.2563025210084033,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,dahod,1.5007287719152127,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,dangs,0.7242798353909465,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
gujarat,devbhumi dwarka,0.728435718809373,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
gujarat,gandhinagar,1.7115801347700894,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,gir somnath,0.6782457361642882,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
gujarat,jamnagar,1.6804707404861083,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,junagadh,2.2035209905204103,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,kachchh,0.8764453548262605,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
gujarat,kheda,2.2727627217781246,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,mahesana,1.2969659185369908,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,mahisagar,0.822699463104008,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
gujarat,morbi,0.9247199072796511,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
gujarat,narmada,0.9228880534029004,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
gujarat,navsari,2.1954867018894957,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,panch mahals,1.4906807334840493,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,patan,1.212491980570067,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,porbandar,2.571084820533387,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,rajkot,1.6023791858959042,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,sabar kantha,2.7225101554839615,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,surat,2.3221661180300948,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,surendranagar,1.1056977957880518,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,tapi,1.129585798816568,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,vadodara,1.9345696974961455,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
gujarat,valsad,1.1842703349282298,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,ambala,1.1012334536702768,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,bhiwani,0.7995563302170813,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
haryana,charkhi dadri,3.875139768915393,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,faridabad,2.3873883039150856,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,fatehabad,1.2515653775322284,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,gurugram,2.9986097713215685,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,hisar,1.0603293076288351,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,jhajjar,1.2533829647470986,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,jind,1.1207638052640634,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,kaithal,1.016829927622591,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,karnal,1.3046414803392443,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,kurukshetra,1.1704144211113177,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,mahendragarh,1.2403667934835625,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,nuh,1.5757662860278554,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,palwal,2.0152524658697497,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,panchkula,1.5844077797202798,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,panipat,2.0735887096774195,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,rewari,1.5143268769009124,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,rohtak,0.8707443290144352,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
haryana,sirsa,1.2348005806657973,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,sonipat,1.528259927797834,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
haryana,yamunanagar,1.3890914480509857,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
himachal pradesh,bilaspur,0.7083130772970345,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
himachal pradesh,chamba,1.2893633847370503,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
himachal pradesh,hamirpur,0.7381880733944954,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
himachal pradesh,kangra,0.9788369998713495,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
himachal pradesh,kinnaur,0.8243785084202085,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
himachal pradesh,kullu,1.140391410709432,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
himachal pradesh,lahaul and spiti,0.8690909090909091,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
himachal pradesh,mandi,0.7485580004272592,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
himachal pradesh,shimla,1.018164505969384,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
himachal pradesh,sirmaur,1.0987169416077507,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
himachal pradesh,solan,0.7562671367019194,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
himachal pradesh,una,0.7312143720849887,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,anantnag,1.1250881294296635,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jammu and kashmir,bandipora,1.5502565298507462,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jammu and kashmir,baramulla,1.1085608157830185,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jammu and kashmir,budgam,1.039043309631545,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jammu and kashmir,doda,0.6751709626512362,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,ganderbal,1.0334128878281623,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jammu and kashmir,jammu,0.8629079177024382,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,kathua,0.9375877280930419,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,kishtwar,0.6172544080604534,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,kulgam,0.9426620521934337,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,kupwara,1.509343342616136,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jammu and kashmir,poonch,0.7963776746478295,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,pulwama,0.8771375825884182,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,rajouri,0.5913074111585714,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,ramban,0.3463933270676692,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,reasi,1.20506454816286,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jammu and kashmir,samba,0.7247499193288157,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jammu and kashmir,shopian,1.0301117047110249,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jammu and kashmir,srinagar,1.177497480576054,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jammu and kashmir,udhampur,0.9724651162790697,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
jharkhand,bokaro,3.2408277076606984,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,chatra,2.527547566242559,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,deoghar,3.4347532945142505,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,dhanbad,4.5399163403346385,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,dumka,2.9886125584143524,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,garhwa,1.9347231205532613,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,giridih,4.606285759694851,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,godda,2.4191767293621225,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,gumla,2.5501988956836668,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,hazaribagh,3.679054408218891,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,jamtara,3.8228975955083606,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,khunti,2.83964807719597,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,koderma,2.7766190998902305,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,latehar,3.2418562329390355,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,lohardaga,2.500471549827098,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
jharkhand,pakur,5.035152838427948,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
